rater,edu_group,pc1_var_explained,effective_dependence,n_bootstraps,n_vars
ai21_jamba-large-1.7,overall,0.37628595892952,0.81398682684458,500,61
ai21_jamba-large-1.7,loedu,0.338610385157731,0.889524166664472,500,60
ai21_jamba-large-1.7,hiedu,0.3894802240367,0.854745031351034,500,60
allenai_olmo-3-7b-instruct,overall,0.227164588090159,0.802097897238059,500,58
allenai_olmo-3-7b-instruct,loedu,0.210016431398477,0.897684768864161,500,57
allenai_olmo-3-7b-instruct,hiedu,0.222068607816952,0.868696721505831,500,57
anthropic_claude-3.7-sonnet,overall,0.482195818170238,0.937154725462958,500,61
anthropic_claude-3.7-sonnet,loedu,0.434198475528485,0.950794369865553,500,60
anthropic_claude-3.7-sonnet,hiedu,0.502100522276153,0.944975855367935,500,60
anthropic_claude-sonnet-4.5,overall,0.471666303848717,0.956124877383336,500,61
anthropic_claude-sonnet-4.5,loedu,0.46540416983699,0.960418693046869,500,59
anthropic_claude-sonnet-4.5,hiedu,0.494615404542599,0.958431423193752,500,60
cohere_command-r-plus-08-2024,overall,0.318599610544041,0.757626077537696,500,61
cohere_command-r-plus-08-2024,loedu,0.292778346226693,0.87069560104876,500,60
cohere_command-r-plus-08-2024,hiedu,0.329580340768612,0.831894204283026,500,60
deepcogito_cogito-v2-preview-llama-405b,overall,0.433552049522512,0.88233034438198,500,61
deepcogito_cogito-v2-preview-llama-405b,loedu,0.396520543705937,0.919501564644424,500,60
deepcogito_cogito-v2-preview-llama-405b,hiedu,0.444456984553176,0.911030371236424,500,60
deepseek_deepseek-chat-v3-0324,overall,0.464346423100419,0.935081069527255,500,61
deepseek_deepseek-chat-v3-0324,loedu,0.445301676924214,0.944296519371776,500,59
deepseek_deepseek-chat-v3-0324,hiedu,0.470008242884671,0.943452931732781,500,59
deepseek_deepseek-chat-v3.1,overall,0.409580776282329,0.921059209327416,500,60
deepseek_deepseek-chat-v3.1,loedu,0.380740104490946,0.93837787395281,500,57
deepseek_deepseek-chat-v3.1,hiedu,0.422996622648706,0.932435267342945,500,59
deepseek_deepseek-v3.2-20251201,overall,0.377214123971238,0.905032518474309,500,60
deepseek_deepseek-v3.2-20251201,loedu,0.361948034152594,0.929830237646192,500,58
