quantile,prob,median_rho,q025,q975,rater
Q15,0.15,0.030068268605298,0.0275690008820242,0.0332357252649696,gss
Q30,0.3,0.0617252844517094,0.0579408219965399,0.0656000623560933,gss
Q50,0.5,0.111718091568786,0.106662281581311,0.117467935583319,gss
Q65,0.65,0.163082156577052,0.155999239478362,0.170634590195934,gss
Q80,0.8,0.231646773352877,0.22275517945391,0.240894602894208,gss
Q95,0.95,0.379539025341866,0.36936876548598,0.390731143300341,gss
Q15,0.15,0.0430828253189046,0.0381129339056532,0.0478776306322445,mistralai_mistral-nemo
Q30,0.3,0.0883760013592537,0.0815805989223354,0.0954546012790594,mistralai_mistral-nemo
Q50,0.5,0.163504928265089,0.151962845803623,0.174810987294281,mistralai_mistral-nemo
Q65,0.65,0.253791899154176,0.238867701959922,0.26931083448521,mistralai_mistral-nemo
Q80,0.8,0.396745225516245,0.379676206370314,0.416478128228826,mistralai_mistral-nemo
Q95,0.95,0.665346550102174,0.642042060088212,0.685963172317015,mistralai_mistral-nemo
Q15,0.15,0.0483911229583819,0.0407137067237923,0.0534836875612994,Nemo_2
Q30,0.3,0.0981283471633883,0.0866154121211011,0.108218749406197,Nemo_2
Q50,0.5,0.175167742817081,0.160937234342819,0.18906302242431,Nemo_2
Q65,0.65,0.252141636509676,0.231806936633958,0.270911200046005,Nemo_2
Q80,0.8,0.371016044292482,0.352895505444332,0.408125078284782,Nemo_2
Q95,0.95,0.612746904133556,0.588016539247929,0.651046050987146,Nemo_2
