rater,median_mac,mean_mac,sd_mac,q025_mac,q975_mac
x-ai_grok-4-fast,0.452099535141382,0.45075709179378,0.00926614565742985,0.432966133786779,0.466869685014938
openai_gpt-5-mini,0.442428320697069,0.442636987191695,0.00566153997797629,0.431734474823637,0.454311135535647
openai_gpt-5,0.441927692937561,0.441560210664353,0.00550827010749265,0.429402490550788,0.451873603624513
mistralai_mistral-medium-3.1,0.438620697401021,0.438552568941951,0.00633636392995435,0.425771440660764,0.450145301768638
mistralai_mistral-large-2512,0.430998242738862,0.430705277139337,0.00620274424047137,0.418943625350798,0.441765616393511
google_gemini-2.5-flash,0.417868682692862,0.41757731829162,0.0112509240765454,0.395311450312833,0.437789439398717
meta-llama_llama-3.3-70b-instruct,0.416578739769856,0.416196550093346,0.0106071787838835,0.396754790945393,0.434465053511372
anthropic_claude-3.7-sonnet,0.412620032083122,0.412400957202939,0.00639901025975343,0.399140583373682,0.423800058422808
anthropic_claude-sonnet-4.5,0.402058814572778,0.404683786056713,0.00886855077550936,0.392744807781984,0.426019550680568
google_gemma-3-12b-it,0.399857289623219,0.399926255184687,0.00815154417644981,0.385619189805865,0.417576835125163
openai_gpt-4o-mini,0.399084785063596,0.399005210472459,0.00578646064340163,0.387257700741101,0.41002588180169
deepseek_deepseek-chat-v3-0324,0.395796840680415,0.395939948318239,0.00653996264729082,0.383806550224127,0.409118260789288
moonshotai_kimi-k2,0.389930002112465,0.389609426737171,0.00613756609344951,0.378022363620644,0.401014814823656
qwen_qwen3-235b-a22b-2507,0.387174537848057,0.386363915893452,0.0107668359153001,0.366624003028319,0.405181943050896
qwen_qwen-2.5-72b-instruct,0.376848551354145,0.376846406078096,0.00670070573769005,0.363493836699735,0.389592551678286
meta-llama_llama-4-maverick,0.366892485131493,0.367357876926393,0.00700230984023679,0.354868858774639,0.382483789356957
google_gemini-2.5-flash-lite,0.362889577678032,0.362721293964837,0.0093722476159238,0.34440101579992,0.38129306914602
deepcogito_cogito-v2-preview-llama-405b,0.359261661754788,0.358957440066345,0.0064317565927994,0.347279006623915,0.371180848554653
deepseek_deepseek-chat-v3.1,0.350007936815355,0.350257999775225,0.00807099634365457,0.33620211437967,0.36627931799855
z-ai_glm-4.6,0.349660457137532,0.349294565265078,0.0059113812005814,0.337987701564272,0.361297741022051
mistralai_mistral-small-3.2-24b-instruct,0.33813440336147,0.338576572871459,0.0075666685503948,0.324713998154167,0.35400025687163
openai_gpt-oss-120b,0.328396972060668,0.327990792504874,0.00751576424004396,0.311695231406187,0.342105482080711
deepseek_deepseek-v3.2-20251201,0.325986016443008,0.325764084943954,0.00608201140417581,0.313428292182149,0.336637355278912
ai21_jamba-large-1.7,0.298081666530384,0.298276140624955,0.00688430274695884,0.285495747141768,0.312062984306691
cohere_command-r-plus-08-2024,0.256551715402955,0.256717365325431,0.00641502409164789,0.243343811974536,0.269391851593548
mistralai_mistral-nemo,0.229512218578362,0.229564028720201,0.00467900510577106,0.220270478621952,0.238529410269677
allenai_olmo-3-7b-instruct,0.210900798108418,0.210861197533652,0.00391918072395261,0.203152908299407,0.219085014267098
meta-llama_llama-3.1-8b-instruct,0.167004103133181,0.166820940928549,0.00417666375354704,0.158317292281051,0.174052256834854
gss,0.144146265457438,0.144158657728522,0.00250350475835669,0.139363917172164,0.148992975134595
