"year","partyid","polviews","age","sex","race","educ","income","marital","relig","attend","feelblks","feelasns","feelhsps","feelwhts","racmar","racdin","racpush","racseg","racopen","racobjct","racschol","racfew","rachaf","racmost","busing","racpres","racjob","racnobuy","racparty","racocc","racinc","affrmact","wrkwayup","blksimp","helpful","trust","natspac","natenvir","natheal","natcity","natcrime","natdrug","nateduc","natrace","natarms","nataid","natfare","natroad","natsoc","natmass","natpark","natchld","natsci","natenrgy","eqwlth","taxrich","taxmid","taxpoor","govcare","goveqinc","govedop","govjobs","govunemp","incgap","workfare","lessfare","spkath","colath","libath","spksoc","colsoc","libsoc","spkrac","colrac","librac","spkcom","colcom","libcom","spkmil","colmil","libmil","spkhomo","colhomo","libhomo","spkmslm","colmslm","libmslm","cappun","gunlaw","courts","wirtap","grass","polhitok","fehome","fework","fepres","fepol","fechld","fehelp","fepresch","fefam","era","febear","feworkif","abdefect","abnomore","abhlth","abpoor","abrape","absingle","abany","premarsx","teensex","xmarsex","homosex","pornlaw","god","prayer","bible","postlife","gochurch","pray","confinan","conbus","conclerg","coneduc","confed","conlabor","conpress","conmedic","contv","conjudge","consci","conlegis","conarmy","letin","immameco","immcrime","immjobs","immrghts","scisolve","scichng","tempgen","grncon"
2024,1,4,33,1,2,16,23,5,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,1,1,1,1,2,1,1,3,3,1,3,1,NA,NA,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,3,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA,NA,2,6,NA,NA,NA,NA,2,1,1,1,1,2,2,1,1,1,3,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,0,3,64,1,1,16,20,5,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,1,3,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,NA,NA,2,5,NA,2,1,NA,4,2,2,2,2,2,NA,2,1,2,3,1,2,2,NA,2,NA,NA,NA,NA,NA,NA,NA
2024,0,1,69,2,1,14,23,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,2,1,1,1,2,2,2,2,2,NA,NA,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,2,NA,NA,NA,1,5,2,1,5,2,NA,NA,NA,NA,NA,NA,1,5,2,2,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,4,2,2,NA,NA,NA,NA,6,1,2,2,1,3,2,2,1,2,3,1,3,1,NA,2,4,4,NA,NA,NA,NA,NA
2024,3,NA,19,1,3,12,25,5,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,NA,NA,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,2,NA,NA,NA,2,2,2,2,NA,2,2,2,1,1,NA,NA,NA,2,4,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,3,4,70,2,1,13,20,3,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,1,1,1,2,1,3,3,1,2,NA,NA,1,2,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,2,NA,NA,NA,2,5,2,2,4,1,NA,NA,NA,NA,NA,NA,2,5,1,2,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,2,1,6,NA,NA,NA,NA,2,2,2,3,3,2,2,NA,2,2,3,2,3,2,NA,2,3,4,NA,NA,NA,NA,NA
2024,3,NA,53,1,3,14,7,1,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,3,1,1,1,1,1,1,2,3,3,3,2,1,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,2,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,2,6,NA,NA,NA,NA,1,1,3,2,2,3,2,2,2,3,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,0,2,48,2,1,13,26,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,NA,NA,2,1,NA,NA,NA,NA,6,2,2,3,2,2,NA,2,1,2,3,1,3,3,NA,2,NA,NA,NA,NA,NA,NA,NA
2024,7,4,30,2,1,14,8,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,2,NA,NA,NA,1,4,2,1,5,2,NA,NA,NA,NA,NA,NA,1,4,2,2,2,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,NA,NA,1,4,1,6,NA,2,1,NA,1,3,3,3,3,3,3,2,3,3,3,NA,3,3,NA,2,3,5,NA,NA,NA,NA,NA
2024,1,4,60,2,2,14,26,1,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,NA,NA,4,1,3,6,NA,NA,NA,NA,2,2,2,2,2,2,NA,2,2,2,2,2,2,2,NA,NA,4,4,NA,NA,NA,NA,NA
2024,3,4,25,1,2,12,NA,5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,3,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,3,2,NA,NA,NA,1,1,1,1,1,1,1,3,2,2,1,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA
